Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AF Sens 3 Volts (V),Boost (kPa),Calculated Load (g/rev),Comm Fuel Final (AFR),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (C),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (kPa),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-25494][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,-10.94,14.84,0.00,14.59,0.71,-42.95,0.51,14.63,0.00,0.79,47.00,9.15,20,24.36,2.24,2859,11.58,15.3,0.00,0
0.098,-10.16,14.84,0.00,14.59,0.73,-43.09,0.51,14.63,0.00,0.79,47.00,9.08,20,24.18,2.24,2838,11.31,15.3,0.00,0
0.174,-11.72,14.84,0.00,14.47,0.72,-43.16,0.51,14.63,0.00,0.79,47.00,9.08,20,24.27,2.24,2839,11.51,15.3,0.00,0
0.278,-10.94,14.84,0.00,14.59,0.80,-43.02,0.51,14.63,0.00,0.79,47.00,9.14,20,24.55,2.24,2857,11.58,15.3,0.00,0
0.369,-10.94,14.84,0.00,14.59,0.78,-43.09,0.51,14.63,0.00,0.79,47.00,9.06,20,24.18,2.24,2832,11.45,15.3,0.00,0
0.476,-11.72,14.84,0.00,14.47,0.73,-43.37,0.51,14.63,0.00,0.79,47.00,9.15,20,24.36,2.24,2859,11.58,15.3,0.00,0
0.570,-10.94,14.84,0.00,14.59,0.74,-43.16,0.51,14.63,0.00,0.79,47.00,9.13,20,23.99,2.22,2854,11.65,15.3,0.00,0
0.673,-10.94,14.84,0.00,14.59,0.77,-43.30,0.51,14.63,0.00,0.79,47.00,9.05,20,24.18,2.24,2830,11.58,15.3,0.00,0
0.761,-10.94,14.84,0.00,14.59,0.68,-43.09,0.51,14.63,0.00,0.79,47.00,9.12,20,24.18,2.24,2849,11.65,14.9,0.00,0
0.874,-10.94,14.84,0.00,14.59,0.69,-43.57,0.51,14.63,0.00,0.79,47.00,9.11,20,23.80,2.22,2847,10.20,14.9,0.00,0
0.964,-12.50,14.84,-0.12,14.47,0.78,-44.13,0.50,14.63,0.00,0.79,47.00,9.03,20,23.61,2.22,2823,10.34,14.9,0.00,0
1.056,-11.72,14.84,0.00,14.47,0.80,-44.26,0.50,14.64,0.00,0.79,47.00,8.50,20,23.80,2.22,2847,10.89,14.9,0.00,0
1.172,-11.72,14.84,0.00,14.59,0.71,-44.13,0.50,14.64,0.00,0.79,47.00,8.44,20,23.89,2.22,2824,11.10,14.9,0.00,0
1.252,-11.72,14.84,0.00,14.59,0.70,-44.13,0.50,14.64,0.00,0.79,47.00,9.04,20,24.08,2.22,2824,10.96,14.9,0.00,0
1.366,-10.94,14.84,0.00,14.59,0.69,-44.13,0.51,14.63,0.00,0.79,47.00,9.10,20,23.80,2.22,2844,10.82,14.9,0.00,0
1.463,-11.72,14.84,0.00,14.59,0.69,-43.92,0.50,14.64,0.00,0.79,47.00,9.02,20,23.80,2.22,2820,10.62,14.9,0.00,0
1.564,-10.94,14.84,0.00,14.59,0.76,-43.92,0.50,14.63,0.00,0.79,47.00,9.10,20,23.80,2.22,2842,10.62,14.9,0.00,0
1.657,-11.72,14.84,0.00,14.59,0.68,-44.20,0.50,14.64,0.00,0.79,47.00,9.10,20,23.89,2.22,2843,10.82,14.9,0.00,0
1.741,-11.72,14.84,0.00,14.59,0.67,-44.06,0.51,14.63,0.00,0.79,47.00,9.02,20,23.80,2.22,2820,10.62,14.9,0.00,0
1.839,-11.72,14.84,0.00,14.59,0.75,-44.13,0.51,14.63,0.00,0.79,47.00,9.07,20,23.80,2.22,2834,10.76,14.9,0.00,0
1.959,-11.72,14.84,0.00,14.59,0.77,-44.06,0.50,14.64,0.00,0.79,47.00,9.00,20,23.51,2.22,2812,10.76,14.9,0.00,0
2.036,-11.72,14.84,0.00,14.59,0.73,-44.20,0.50,14.64,0.00,0.79,47.00,8.39,20,23.61,2.22,2811,10.82,14.9,0.00,0
2.134,-11.72,14.84,0.00,14.59,0.72,-44.06,0.50,14.64,0.00,0.79,47.00,8.46,20,23.33,2.22,2831,10.96,14.9,0.00,0
2.238,-10.94,14.84,0.00,14.59,0.73,-44.20,0.50,14.64,0.00,0.79,47.00,8.99,20,23.70,2.22,2810,10.96,14.9,0.00,0
2.328,-11.72,14.84,0.00,14.59,0.70,-44.26,0.50,14.64,0.00,0.79,47.00,8.46,20,23.61,2.22,2832,11.10,14.9,0.00,0
2.426,-10.94,14.84,0.00,14.59,0.70,-44.20,0.50,14.64,0.00,0.79,47.00,8.39,20,23.42,2.22,2809,10.89,14.9,0.00,0
2.531,-10.94,14.84,0.00,14.70,0.67,-44.26,0.50,14.64,0.00,0.79,47.00,8.98,20,23.70,2.22,2806,10.96,14.9,0.00,0
2.622,-10.94,14.84,0.00,14.59,0.62,-44.26,0.50,14.64,0.00,0.79,47.00,9.06,20,23.61,2.22,2830,11.10,14.9,0.00,0
2.726,-10.94,14.84,0.00,14.59,0.70,-44.20,0.50,14.64,0.00,0.79,47.00,8.99,20,23.61,2.22,2810,11.03,14.9,0.00,0
2.822,-10.94,14.84,0.00,14.59,0.76,-44.20,0.50,14.64,0.00,0.79,47.00,9.05,20,23.61,2.22,2828,10.76,14.9,0.00,0
2.920,-11.72,14.84,0.00,14.59,0.69,-44.61,0.50,14.64,0.00,0.79,47.00,8.99,20,23.61,2.22,2808,10.96,14.9,0.00,0
3.019,-10.94,14.84,0.00,14.59,0.69,-44.26,0.50,14.64,0.00,0.79,47.00,8.99,20,23.80,2.22,2808,11.38,14.9,0.00,0
3.115,-10.94,14.84,0.00,14.70,0.72,-44.20,0.50,14.64,0.00,0.79,47.00,9.04,20,23.80,2.22,2824,10.96,14.9,0.00,0
3.215,-10.94,14.84,0.00,14.59,0.71,-44.06,0.50,14.64,0.00,0.79,47.00,8.98,20,23.70,2.22,2807,10.96,14.9,0.00,0
3.327,-10.94,14.84,0.00,14.59,0.67,-44.33,0.51,14.63,0.00,0.79,47.00,9.02,20,23.61,2.22,2818,10.89,14.9,0.00,0
3.412,-10.94,14.84,0.00,14.59,0.74,-44.33,0.50,14.64,0.00,0.79,47.00,8.96,20,23.42,2.22,2801,11.17,14.9,0.00,0
3.507,-10.16,14.84,0.00,14.59,0.76,-44.20,0.50,14.64,0.00,0.79,47.00,8.95,20,23.61,2.22,2798,11.03,14.9,0.00,0
3.607,-10.16,14.84,0.00,14.59,0.69,-44.20,0.50,14.64,0.00,0.79,47.00,9.02,20,23.61,2.22,2818,11.10,14.9,0.00,0
3.709,-10.94,14.84,0.00,14.59,0.60,-44.20,0.51,14.64,0.00,0.79,47.00,8.95,20,23.80,2.22,2797,10.82,14.9,0.00,0
3.798,-10.94,14.84,0.00,14.59,0.76,-44.13,0.51,14.63,0.00,0.79,47.00,9.00,20,23.51,2.22,2812,10.96,14.9,0.00,0
3.901,-10.94,14.84,0.00,14.59,0.76,-44.20,0.51,14.64,0.00,0.79,47.00,8.94,20,23.70,2.22,2794,11.10,15.3,0.00,0
3.996,-10.94,14.84,0.00,14.59,0.73,-43.44,0.51,14.63,0.00,0.79,47.00,9.00,20,24.08,2.24,2814,12.41,15.7,0.00,0
4.099,-9.38,14.84,0.00,14.70,0.62,-42.61,0.51,14.63,0.00,0.79,47.00,8.99,20,24.18,2.24,2808,11.65,15.3,0.00,0
4.192,-9.38,14.84,0.00,14.81,0.45,-42.68,0.52,14.63,0.00,0.79,47.00,8.93,20,24.18,2.24,2792,11.10,15.3,0.00,0
4.291,-9.38,14.84,0.00,14.59,0.42,-42.61,0.52,14.63,0.00,0.79,47.00,8.98,20,24.18,2.24,2807,11.24,16.5,0.00,0
4.390,-8.59,14.84,0.00,14.59,0.71,-39.64,0.53,14.62,0.00,0.79,47.00,9.51,20,26.77,2.30,2786,16.89,16.9,0.00,0
4.484,-4.69,14.84,0.12,15.16,0.36,-37.02,0.56,14.53,0.00,0.79,46.50,10.20,20,27.09,2.30,2812,17.31,16.9,0.00,0
4.588,-7.03,14.84,0.00,14.70,0.16,-36.68,0.57,14.51,0.00,0.79,46.50,10.11,20,26.88,2.30,2787,14.69,16.9,0.00,0
4.680,-6.25,14.84,-0.12,14.36,0.32,-36.61,0.58,14.51,0.00,0.79,46.50,10.18,20,27.09,2.30,2807,14.41,16.9,0.00,0
4.787,-7.81,14.84,-0.12,14.36,0.82,-36.40,0.58,14.51,0.00,0.79,46.50,10.19,20,26.88,2.30,2810,12.96,16.9,0.00,0
4.895,-8.59,14.84,-0.12,14.36,0.82,-36.47,0.57,14.53,0.00,0.79,46.50,10.11,20,26.88,2.30,2787,13.58,16.9,0.00,0
4.986,-8.59,14.84,-0.12,14.47,0.78,-36.47,0.58,14.54,0.00,0.79,46.50,10.18,20,27.09,2.30,2808,13.24,16.9,0.00,0
5.083,-8.59,14.84,0.00,14.47,0.80,-36.40,0.58,14.54,0.00,0.79,46.50,10.13,20,27.40,2.32,2793,13.51,16.9,0.00,0
5.172,-9.38,14.84,-0.12,14.47,0.81,-35.85,0.58,14.53,0.00,0.79,46.50,10.21,20,27.19,2.30,2816,12.82,16.9,0.00,0
5.268,-9.38,14.84,-0.12,14.47,0.74,-35.99,0.58,14.54,0.00,0.79,46.50,10.15,20,27.19,2.30,2799,12.89,16.9,0.00,0
5.367,-9.38,14.84,0.00,14.47,0.79,-35.92,0.58,14.57,0.00,0.79,46.50,10.19,20,27.51,2.30,2810,13.86,16.9,0.00,0
5.467,-8.59,14.84,0.00,14.59,0.78,-35.58,0.59,14.57,0.00,0.79,46.50,10.22,20,27.61,2.32,2818,12.48,16.9,0.00,0
5.564,-9.38,14.84,0.00,14.59,0.73,-34.82,0.59,14.57,0.00,0.79,46.50,10.15,20,28.46,2.34,2800,12.13,18.0,0.00,0
5.668,-7.03,14.84,0.00,14.81,0.67,-31.99,0.61,14.51,0.00,0.79,46.00,10.82,20,29.78,2.38,2819,16.69,19.6,0.00,0
5.763,-3.12,14.84,0.12,15.16,0.25,-27.65,0.64,13.95,0.00,0.79,45.50,11.97,20,32.03,2.42,2806,20.06,20.0,0.00,0
5.858,-3.91,14.84,0.00,14.81,0.11,-25.17,0.67,14.39,0.00,0.79,45.00,12.04,20,32.61,2.42,2823,19.93,20.0,0.00,0
5.966,-4.69,14.84,-0.12,14.47,0.14,-24.61,0.69,14.37,0.00,0.79,45.00,12.05,20,32.97,2.44,2825,18.89,20.0,0.00,0
6.060,-5.47,14.84,-0.12,14.24,0.63,-23.79,0.70,14.36,0.00,0.79,45.00,12.00,20,32.48,2.42,2812,17.72,19.6,0.00,0
6.156,-5.47,14.84,-0.12,14.24,0.81,-23.72,0.69,14.39,0.00,0.79,45.00,12.10,20,32.48,2.42,2835,17.51,19.6,0.00,0
6.252,-7.03,14.84,-0.12,14.13,0.82,-23.58,0.69,14.40,0.00,0.79,45.00,12.03,20,32.73,2.44,2818,16.75,19.6,0.00,0
6.348,-6.25,14.84,-0.12,14.36,0.83,-23.44,0.69,14.41,0.00,0.79,45.00,12.09,20,33.22,2.44,2833,16.55,19.6,0.00,0
6.450,-7.03,14.84,-0.12,14.36,0.78,-22.75,0.70,14.41,0.00,0.79,44.50,12.11,20,33.46,2.44,2839,15.65,20.0,0.00,0
6.543,-7.03,14.84,-0.12,14.36,0.76,-22.41,0.70,14.41,0.00,0.79,44.50,12.04,20,33.46,2.44,2821,16.75,20.0,0.00,0
6.640,-7.81,14.84,-0.12,14.36,0.80,-22.27,0.71,14.42,0.00,0.79,44.50,12.13,20,33.46,2.46,2843,16.20,20.0,0.00,0
6.738,-7.03,14.84,-0.12,14.47,0.77,-21.86,0.71,14.42,0.00,0.79,44.50,12.06,20,33.70,2.46,2826,16.27,19.6,0.00,0
6.844,-7.03,14.84,-0.12,14.47,0.72,-21.65,0.72,14.42,0.00,0.79,44.00,12.66,20,33.95,2.46,2826,14.89,19.6,0.00,0
6.936,-8.59,14.84,-0.12,14.24,0.82,-21.99,0.72,14.44,0.00,0.79,44.50,12.16,20,33.09,2.44,2851,14.69,18.8,0.00,0
7.036,-9.38,14.84,-0.12,14.24,0.82,-23.99,0.70,14.47,0.00,0.79,45.00,11.47,20,32.48,2.42,2831,10.14,18.4,0.00,0
7.136,-10.94,14.84,-0.12,14.13,0.82,-25.79,0.68,14.48,0.00,0.79,45.00,11.47,20,31.58,2.40,2830,10.20,18.0,0.00,0
7.236,-11.72,14.84,-0.12,14.24,0.82,-26.89,0.67,14.51,0.00,0.79,45.50,11.57,20,31.35,2.40,2855,10.62,18.0,0.00,0
7.335,-10.94,14.84,-0.12,14.36,0.82,-27.51,0.66,14.51,0.00,0.79,45.50,10.89,20,31.13,2.40,2836,10.89,18.0,0.00,0
7.431,-10.16,14.84,0.00,14.59,0.70,-27.44,0.66,14.52,0.00,0.79,45.50,11.58,20,31.46,2.40,2858,10.96,18.0,0.00,0
7.530,-10.94,14.84,0.00,14.47,0.63,-27.85,0.66,14.51,0.00,0.79,45.50,11.58,20,31.13,2.40,2856,11.17,18.0,0.00,0
7.630,-10.16,14.84,0.00,14.47,0.76,-28.82,0.65,14.52,0.00,0.79,45.50,10.91,20,30.57,2.38,2841,10.62,17.6,0.00,0
7.720,-10.16,14.84,0.00,14.59,0.73,-29.37,0.65,14.53,0.00,0.79,45.50,10.99,20,30.01,2.38,2862,10.62,17.6,0.00,0
7.830,-10.94,14.84,0.00,14.47,0.74,-30.41,0.64,14.54,0.00,0.79,45.50,10.99,20,29.67,2.36,2861,10.27,16.9,0.00,0
7.914,-11.72,14.84,-0.12,14.36,0.81,-31.72,0.62,14.55,0.00,0.79,46.00,10.31,20,29.11,2.36,2843,8.62,16.9,0.00,0
8.011,-11.72,14.84,-0.12,14.36,0.80,-32.06,0.62,14.56,0.00,0.79,46.00,10.37,20,28.88,2.34,2860,9.45,16.9,0.00,0
8.117,-11.72,14.84,0.00,14.59,0.73,-32.61,0.61,14.56,0.00,0.79,46.00,10.39,20,28.88,2.32,2865,10.07,16.5,0.00,0
8.207,-11.72,14.84,0.00,14.47,0.68,-34.54,0.60,14.57,0.00,0.79,46.50,10.31,20,27.61,2.32,2842,8.14,16.5,0.00,0
8.308,-12.50,14.84,-0.12,14.36,0.80,-35.65,0.58,14.59,0.00,0.79,46.50,9.77,20,27.19,2.30,2862,8.14,16.1,0.00,0
8.410,-13.28,14.84,-0.12,14.36,0.74,-36.68,0.57,14.60,0.00,0.79,46.50,9.77,20,26.35,2.30,2862,8.69,15.7,0.00,0
8.504,-13.28,14.84,0.00,14.47,0.74,-37.92,0.56,14.61,0.00,0.79,47.00,9.70,20,25.93,2.28,2843,7.72,15.7,0.00,0
8.601,-13.28,14.84,0.00,14.59,0.73,-38.61,0.55,14.62,0.00,0.79,47.00,9.77,20,25.93,2.28,2864,8.34,15.7,0.00,0
8.702,-12.50,14.84,0.00,14.59,0.57,-38.96,0.55,14.63,0.00,0.79,47.00,9.70,20,25.93,2.28,2842,8.83,15.7,0.00,0
8.801,-11.72,14.84,0.00,14.59,0.42,-38.96,0.55,14.62,0.00,0.79,47.00,9.71,20,25.93,2.28,2844,10.00,15.7,0.00,0
8.898,-10.94,14.84,0.00,14.70,0.39,-39.09,0.54,14.62,0.00,0.79,47.00,9.77,20,25.93,2.28,2863,9.86,15.7,0.00,0
8.997,-10.94,14.84,0.00,14.59,0.36,-39.51,0.54,14.62,0.00,0.79,47.00,9.71,20,25.72,2.28,2845,9.17,15.7,0.00,0
9.091,-11.72,14.84,0.00,14.59,0.40,-39.92,0.54,14.62,0.00,0.79,47.00,9.71,20,25.61,2.26,2844,9.58,15.7,0.00,0
9.192,-11.72,14.84,0.00,14.47,0.73,-40.27,0.53,14.62,0.00,0.79,47.00,9.15,20,25.12,2.26,2861,9.31,15.7,0.00,0
9.288,-11.72,14.84,0.00,14.59,0.75,-40.68,0.53,14.63,0.00,0.79,47.00,9.09,20,25.31,2.26,2841,9.51,15.7,0.00,0
9.383,-11.72,14.84,0.00,14.59,0.69,-40.75,0.53,14.63,0.00,0.79,47.00,9.09,20,25.51,2.26,2840,9.58,15.7,0.00,0
9.490,-11.72,14.84,0.00,14.59,0.73,-40.54,0.53,14.62,0.00,0.79,47.00,9.17,20,25.31,2.26,2865,10.82,15.7,0.00,0
9.579,-10.94,14.84,0.00,14.59,0.72,-40.54,0.53,14.62,0.00,0.79,47.00,9.08,20,25.21,2.26,2839,10.55,15.7,0.00,0
9.677,-11.72,14.84,0.00,14.59,0.68,-40.54,0.53,14.62,0.00,0.79,47.00,9.08,20,25.12,2.26,2839,10.41,15.7,0.00,0
9.776,-10.94,14.84,0.00,14.59,0.70,-40.61,0.53,14.62,0.00,0.79,47.00,9.16,20,25.31,2.26,2863,10.48,15.7,0.00,0
9.879,-10.94,14.84,0.00,14.59,0.65,-40.68,0.53,14.61,0.00,0.79,47.00,9.09,20,25.40,2.26,2842,10.69,15.7,0.00,0
9.977,-10.94,14.84,0.00,14.70,0.55,-40.82,0.53,14.61,0.00,0.79,47.00,9.09,20,25.02,2.26,2840,10.82,15.7,0.00,0
10.074,-10.94,14.84,0.00,14.59,0.71,-40.68,0.53,14.61,0.00,0.79,47.00,9.15,20,25.21,2.26,2859,10.89,15.7,0.00,0
10.172,-10.94,14.84,0.00,14.59,0.73,-40.82,0.53,14.61,0.00,0.79,47.00,9.09,20,25.12,2.26,2842,10.96,15.7,0.00,0
10.267,-10.94,14.84,0.00,14.59,0.70,-41.09,0.53,14.62,0.00,0.79,47.00,9.09,20,25.12,2.26,2840,11.10,15.7,0.00,0
10.366,-10.94,14.84,0.00,14.59,0.75,-41.02,0.53,14.61,0.00,0.79,47.00,9.16,20,25.31,2.26,2862,11.10,15.7,0.00,0
10.466,-11.72,14.84,0.00,14.59,0.71,-40.95,0.53,14.61,0.00,0.79,47.00,9.08,20,25.02,2.26,2836,11.10,15.7,0.00,0
10.566,-11.72,14.84,0.00,14.59,0.72,-41.09,0.53,14.61,0.00,0.79,47.00,9.14,20,24.93,2.26,2856,11.03,15.7,0.00,0
10.661,-11.72,14.84,0.00,14.59,0.73,-41.09,0.53,14.61,0.00,0.79,47.00,9.15,20,25.02,2.26,2860,11.17,15.7,0.00,0
10.759,-11.72,14.84,0.00,14.59,0.71,-41.09,0.53,14.62,0.00,0.79,47.00,9.10,20,24.93,2.26,2842,11.17,15.7,0.00,0
10.857,-10.94,14.84,0.00,14.70,0.63,-41.16,0.53,14.62,0.00,0.79,47.00,9.15,20,24.93,2.26,2859,11.10,15.7,0.00,0
10.951,-10.94,14.84,0.00,14.59,0.67,-41.16,0.52,14.62,0.00,0.79,47.00,9.15,20,25.12,2.26,2860,11.17,15.7,0.00,0
11.050,-10.94,14.84,0.00,14.59,0.67,-41.02,0.53,14.62,0.00,0.79,47.00,9.07,20,25.02,2.26,2835,11.38,15.7,0.00,0
11.149,-10.94,14.84,0.00,14.59,0.65,-41.23,0.53,14.62,0.00,0.79,47.00,9.14,20,24.93,2.26,2857,11.10,15.7,0.00,0
11.247,-10.94,14.84,0.00,14.59,0.67,-41.09,0.53,14.62,0.00,0.79,47.00,9.13,20,24.93,2.26,2852,11.31,15.7,0.00,0
11.346,-10.94,14.84,0.00,14.59,0.67,-41.23,0.53,14.62,0.00,0.79,47.00,9.06,20,25.02,2.26,2833,11.10,15.7,0.00,0
11.441,-10.94,14.84,0.00,14.59,0.67,-41.37,0.53,14.62,0.00,0.79,47.00,9.15,20,24.93,2.26,2860,11.45,15.7,0.00,0
11.547,-10.94,14.84,0.00,14.59,0.70,-41.09,0.53,14.62,0.00,0.79,47.00,9.08,20,24.93,2.26,2836,11.58,15.7,0.00,0
11.645,-10.94,14.84,0.00,14.59,0.74,-41.23,0.53,14.62,0.00,0.79,47.00,9.07,20,24.93,2.26,2835,11.17,15.7,0.00,0
11.741,-10.94,14.84,0.00,14.59,0.66,-41.23,0.52,14.62,0.00,0.79,47.00,9.13,20,24.93,2.26,2853,11.24,15.7,0.00,0
11.841,-10.94,14.84,0.00,14.59,0.72,-41.16,0.53,14.62,0.00,0.79,47.00,9.06,20,24.93,2.26,2833,11.45,15.7,0.00,0
11.937,-10.94,14.84,0.00,14.59,0.73,-41.16,0.53,14.62,0.00,0.79,47.00,9.06,20,25.12,2.26,2832,11.17,15.7,0.00,0
12.036,-10.94,14.84,0.00,14.59,0.67,-41.16,0.53,14.61,0.00,0.79,47.00,9.13,20,25.21,2.26,2853,11.45,15.7,0.00,0
12.132,-11.72,14.84,0.00,14.47,0.76,-41.16,0.53,14.61,0.00,0.79,47.00,9.06,20,24.74,2.26,2830,11.31,15.7,0.00,0
12.229,-10.94,14.84,0.00,14.59,0.77,-41.02,0.53,14.61,0.00,0.79,47.00,9.12,20,24.93,2.26,2850,11.10,15.7,0.00,0
12.331,-11.72,14.84,0.00,14.59,0.67,-41.02,0.53,14.61,0.00,0.79,47.00,9.13,20,25.02,2.26,2852,11.03,15.7,0.00,0
12.431,-11.72,14.84,0.00,14.59,0.70,-41.09,0.53,14.62,0.00,0.79,47.00,9.06,20,25.02,2.26,2831,11.10,15.7,0.00,0
12.526,-10.94,14.84,0.00,14.70,0.73,-40.95,0.53,14.61,0.00,0.79,47.00,9.10,20,24.93,2.26,2844,11.10,15.7,0.00,0
12.626,-11.72,14.84,0.00,14.59,0.64,-41.09,0.53,14.61,0.00,0.79,47.00,9.12,20,25.21,2.26,2849,11.03,15.7,0.00,0
12.722,-11.72,14.84,0.00,14.59,0.65,-41.23,0.53,14.61,0.00,0.79,47.00,9.04,20,25.02,2.26,2824,11.03,15.7,0.00,0
12.815,-10.94,14.84,0.00,14.59,0.74,-41.16,0.53,14.61,0.00,0.79,47.00,9.10,20,24.93,2.26,2845,10.55,15.7,0.00,0
12.919,-11.72,14.84,0.00,14.59,0.71,-41.44,0.53,14.62,0.00,0.79,47.00,9.04,20,25.02,2.26,2826,10.62,15.7,0.00,0
13.009,-11.72,14.84,0.00,14.59,0.69,-41.51,0.53,14.61,0.00,0.79,47.00,9.03,20,24.93,2.26,2823,10.55,15.7,0.00,0
13.111,-11.72,14.84,0.00,14.59,0.78,-41.37,0.53,14.61,0.00,0.79,47.00,9.09,20,24.93,2.26,2840,11.24,15.7,0.00,0
13.209,-11.72,14.84,0.00,14.59,0.70,-41.23,0.53,14.61,0.00,0.79,47.00,9.03,20,25.21,2.26,2822,11.45,15.7,0.00,0
13.302,-12.50,14.84,0.00,14.47,0.71,-41.37,0.53,14.61,0.00,0.79,47.00,9.10,20,25.12,2.26,2843,11.51,15.7,0.00,0
13.404,-11.72,14.84,0.00,14.59,0.76,-41.09,0.53,14.61,0.00,0.79,47.00,9.08,20,25.02,2.26,2838,11.51,15.7,0.00,0
13.498,-10.94,14.84,0.00,14.70,0.70,-41.23,0.53,14.61,0.00,0.79,47.00,9.01,20,24.93,2.26,2815,11.24,15.7,0.00,0
13.599,-11.72,14.84,0.00,14.59,0.55,-41.23,0.53,14.61,0.00,0.79,47.00,9.07,20,25.21,2.26,2836,11.03,15.7,0.00,0
13.700,-11.72,14.84,0.00,14.59,0.61,-41.09,0.53,14.61,0.00,0.79,47.00,9.01,20,25.21,2.26,2816,11.45,15.7,0.00,0
13.797,-11.72,14.84,0.00,14.59,0.73,-41.02,0.53,14.61,0.00,0.79,47.00,9.01,20,24.83,2.26,2814,11.31,15.7,0.00,0
13.890,-11.72,14.84,0.00,14.59,0.62,-41.16,0.53,14.61,0.00,0.79,47.00,9.08,20,25.02,2.26,2838,11.17,15.7,0.00,0
13.991,-11.72,14.84,0.00,14.59,0.68,-41.30,0.53,14.61,0.00,0.79,47.00,9.03,20,24.93,2.26,2821,11.17,15.7,0.00,0
14.089,-11.72,14.84,0.00,14.59,0.70,-41.16,0.53,14.61,0.00,0.79,47.00,9.08,20,25.02,2.26,2836,11.38,15.7,0.00,0
14.189,-11.72,14.84,0.00,14.59,0.69,-41.37,0.53,14.61,0.00,0.79,47.00,9.01,20,24.93,2.26,2816,11.31,15.7,0.00,0
14.286,-11.72,14.84,0.00,14.59,0.67,-41.37,0.53,14.61,0.00,0.79,47.00,9.01,20,24.93,2.26,2816,11.24,15.7,0.00,0
14.386,-11.72,14.84,0.00,14.59,0.74,-41.23,0.53,14.61,0.00,0.79,47.00,9.10,20,25.21,2.26,2845,11.31,15.7,0.00,0
14.485,-11.72,14.84,0.00,14.59,0.65,-41.37,0.53,14.61,0.00,0.79,47.00,9.04,20,25.05,2.26,2824,11.31,15.7,0.00,0
14.585,-11.72,14.84,0.00,14.59,0.65,-41.30,0.53,14.61,0.00,0.79,47.00,9.09,20,25.24,2.26,2842,11.45,15.7,0.00,0
14.676,-11.72,14.84,0.00,14.59,0.73,-41.16,0.53,14.61,0.00,0.79,47.00,9.09,20,25.24,2.26,2842,11.45,15.7,0.00,0
14.781,-11.72,14.84,0.00,14.59,0.70,-41.16,0.53,14.61,0.00,0.79,47.00,9.04,20,25.05,2.26,2824,11.51,15.7,0.00,0
14.870,-11.72,14.84,0.00,14.59,0.63,-41.44,0.53,14.61,0.00,0.79,47.00,9.11,20,25.05,2.26,2846,11.38,15.7,0.00,0
14.976,-11.72,14.84,0.00,14.59,0.68,-41.09,0.53,14.61,0.00,0.79,47.00,9.02,20,25.05,2.26,2820,11.51,15.7,0.00,0
15.073,-11.72,14.84,0.00,14.59,0.71,-41.23,0.53,14.61,0.00,0.79,47.00,9.03,20,24.96,2.26,2822,11.38,15.7,0.00,0
15.170,-12.50,14.84,0.00,14.47,0.66,-41.37,0.53,14.61,0.00,0.79,47.00,9.10,20,24.87,2.26,2844,11.45,15.7,0.00,0
15.270,-10.94,14.84,0.00,14.70,0.68,-41.37,0.53,14.61,0.00,0.79,47.00,9.03,20,24.87,2.26,2823,11.58,15.7,0.00,0
15.360,-10.94,14.84,0.00,14.70,0.51,-41.37,0.53,14.81,0.00,0.79,47.00,9.10,20,25.15,2.26,2842,11.45,15.7,0.00,0
15.465,-10.94,14.84,0.00,14.59,0.50,-41.23,0.53,14.89,0.00,0.79,47.00,9.10,20,24.87,2.26,2844,11.38,15.7,0.00,0
15.560,-9.38,14.84,0.00,14.70,0.42,-41.51,0.53,14.93,0.00,0.79,47.00,9.03,20,24.97,2.26,2823,11.38,15.7,0.00,0
15.662,-9.38,14.84,0.00,14.70,0.42,-41.02,0.53,14.95,0.00,0.79,47.00,9.11,20,25.16,2.26,2848,11.45,15.7,0.00,0
15.755,-10.16,14.84,0.00,14.59,0.52,-41.51,0.53,14.96,0.00,0.79,47.00,9.10,20,25.06,2.26,2845,11.10,15.7,0.00,0
15.856,-9.38,14.84,0.00,14.59,0.69,-41.37,0.53,14.97,0.00,0.79,47.00,9.04,20,25.16,2.26,2824,11.51,15.7,0.00,0
15.955,-9.38,14.84,0.00,14.59,0.76,-41.23,0.53,14.97,0.00,0.79,47.00,9.11,20,25.16,2.26,2846,11.31,15.7,0.00,0
16.054,-9.38,14.84,0.00,14.59,0.73,-41.23,0.53,14.97,0.00,0.79,47.00,9.03,20,25.16,2.26,2823,11.45,15.7,0.00,0
16.148,-10.16,14.84,0.00,14.59,0.71,-41.30,0.53,14.97,0.00,0.79,47.00,9.05,20,25.07,2.26,2827,10.55,15.7,0.00,0
16.247,-9.38,14.84,0.00,14.59,0.76,-41.37,0.53,14.98,0.00,0.79,47.00,9.09,20,24.88,2.26,2842,11.45,15.7,0.00,0
16.347,-9.38,14.84,0.00,14.70,0.65,-41.16,0.53,14.98,0.00,0.79,47.00,9.03,20,25.26,2.26,2822,11.24,15.7,0.00,0
