Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Boost (kPa),Calculated Load (g/rev),Comm Fuel Final (AFR),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (C),MAF (g/s),MAF Volts (V),RPM (RPM),TD Boost Error (kPa),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-25494][2005 USDM Impreza WRX STI][Reflash: Stage0 v400.ptm - Realtime: Stage0 v400.ptm]"
0.000,0.00,-12.50,14.70,-66.40,0.29,14.70,0.375,0.00,0.35,15.50,1.33,39,3.98,1.30,777,21.10,2.0,0.00,0
0.110,-0.78,-12.50,14.47,-66.40,0.29,14.70,0.375,0.00,0.35,15.50,1.32,39,3.98,1.30,772,21.44,2.0,0.00,0
0.191,-0.78,-12.50,14.59,-66.33,0.29,14.70,0.375,0.00,0.35,15.50,1.33,39,3.98,1.30,780,21.58,2.0,0.00,0
0.288,0.00,-12.50,14.70,-66.81,0.29,14.70,0.375,0.00,0.35,14.50,1.35,39,3.95,1.30,790,21.30,2.0,0.00,0
0.407,-0.78,-12.50,14.70,-66.74,0.29,14.70,0.375,0.00,0.35,16.00,1.34,39,3.98,1.30,784,21.79,2.0,0.00,0
0.507,0.00,-12.50,14.70,-66.74,0.29,14.70,0.375,0.00,0.35,16.00,1.32,39,4.00,1.30,776,21.79,2.0,0.00,0
0.633,0.00,-12.50,14.70,-67.15,0.29,14.70,0.375,0.00,0.35,15.50,1.34,39,3.98,1.30,783,21.79,2.0,0.00,0
0.714,-0.78,-12.50,14.70,-67.09,0.29,14.70,0.375,0.00,0.35,16.00,1.34,39,3.98,1.30,784,21.93,2.0,0.00,0
0.818,-0.78,-12.50,14.59,-66.95,0.29,14.70,0.375,0.00,0.35,16.50,1.31,39,3.95,1.30,766,22.06,2.0,0.00,0
0.918,0.00,-12.50,14.81,-67.09,0.29,14.70,0.375,0.00,0.35,16.00,1.33,39,4.00,1.30,778,21.93,2.0,0.00,0
1.026,-0.78,-12.50,14.70,-66.81,0.29,14.70,0.375,0.00,0.35,16.50,1.34,39,3.98,1.30,782,21.86,2.0,0.00,0
1.142,-0.78,-12.50,14.59,-66.67,0.29,14.70,0.375,0.00,0.35,16.50,1.30,39,3.98,1.30,762,22.06,2.0,0.00,0
1.246,-0.78,-12.50,14.70,-66.81,0.29,14.70,0.375,0.00,0.35,15.50,1.33,39,3.98,1.30,781,18.00,2.0,0.00,0
1.338,-0.78,-12.50,14.70,-66.74,0.29,14.70,0.375,0.00,0.35,16.50,1.33,39,3.95,1.30,776,18.20,2.0,0.00,0
1.431,-0.78,-12.50,14.59,-66.67,0.29,14.70,0.375,0.00,0.35,16.50,1.30,39,3.95,1.30,764,18.20,2.0,0.00,0
1.538,0.00,-12.50,14.81,-66.81,0.29,14.70,0.375,0.00,0.35,16.50,1.31,39,3.98,1.30,770,18.00,2.0,0.00,0
1.645,-0.78,-12.50,14.70,-66.67,0.29,14.70,0.375,0.00,0.35,16.50,1.32,39,3.95,1.30,772,18.13,2.0,0.00,0
1.747,-1.56,-12.50,14.59,-65.84,0.29,14.70,0.375,0.00,0.35,18.00,1.30,39,4.64,1.74,760,18.13,14.1,4.71,0
1.851,-0.78,-10.94,14.59,-18.68,0.42,10.75,0.375,0.00,0.35,26.00,3.68,39,17.12,2.06,822,17.93,18.0,6.67,0
1.958,-5.47,-10.16,14.01,-10.20,0.67,9.43,0.375,0.00,0.35,26.50,4.03,39,16.32,1.98,1048,-9.79,18.0,7.84,0
2.059,-3.12,-8.59,14.36,-11.79,0.73,13.65,0.375,0.00,0.35,30.50,5.30,39,16.32,2.00,1380,-18.62,15.3,10.20,0
2.169,2.34,-7.81,15.62,-38.82,0.69,14.70,0.375,0.00,0.35,17.00,4.20,39,9.60,1.56,1516,-16.96,2.7,0.00,0
2.270,2.34,-7.81,15.27,-59.23,0.51,21.38,0.375,0.00,0.35,16.50,2.91,39,5.21,1.34,1514,-8.83,1.6,0.00,0
2.375,-0.78,-7.81,14.36,-67.02,0.36,20.91,0.375,0.00,0.35,16.50,2.26,39,3.87,1.30,1325,15.31,2.4,0.00,0
2.471,-1.56,-8.59,14.13,-70.33,0.27,18.10,0.375,0.00,0.35,13.50,1.94,39,4.27,1.36,1138,18.82,2.7,0.00,0
2.575,-1.56,-8.59,14.24,-70.40,0.26,14.72,0.375,0.00,0.35,22.50,1.75,39,4.87,1.38,1024,22.96,2.7,0.00,0
2.684,-2.34,-8.59,14.13,-70.12,0.27,14.73,0.375,0.00,0.35,22.50,1.74,39,4.87,1.38,1018,22.61,2.4,0.00,0
2.786,-1.56,-8.59,14.36,-70.74,0.27,14.73,0.375,0.00,0.35,22.00,1.73,39,4.44,1.34,1011,21.93,2.0,0.00,0
2.892,-1.56,-9.38,14.47,-71.57,0.27,14.73,0.375,0.00,0.35,21.50,1.70,39,4.19,1.32,996,22.55,2.0,0.00,0
2.994,-1.56,-9.38,14.47,-72.05,0.26,14.73,0.375,0.00,0.35,22.50,1.69,39,4.17,1.32,989,23.03,2.0,0.00,0
3.099,-2.34,-9.38,14.36,-72.05,0.26,14.73,0.375,0.00,0.35,22.50,1.65,39,4.30,1.34,968,23.37,2.7,0.00,0
3.209,-3.12,-9.38,14.13,-70.88,0.26,14.74,0.375,0.00,0.35,22.50,1.60,39,4.66,1.36,937,23.79,2.7,0.00,0
3.303,-3.91,-9.38,13.90,-69.84,0.27,14.73,0.375,0.00,0.35,22.50,1.58,39,4.75,1.38,925,23.03,2.7,0.00,0
3.414,-4.69,-10.16,13.78,-68.95,0.28,14.73,0.375,0.00,0.35,22.50,1.58,39,4.69,1.36,928,21.86,2.4,0.00,0
3.516,-5.47,-10.16,13.90,-68.81,0.29,14.73,0.375,0.00,0.35,22.50,1.55,39,4.49,1.34,907,20.62,2.4,0.00,0
3.618,-4.69,-10.16,14.01,-69.09,0.29,14.72,0.375,0.00,0.35,22.50,1.57,39,4.38,1.34,918,20.48,2.4,0.00,0
3.723,-5.47,-10.16,14.13,-69.09,0.28,14.72,0.375,0.00,0.35,22.50,1.53,39,4.38,1.34,899,20.62,2.4,0.00,0
3.829,-5.47,-10.16,14.13,-68.74,0.28,14.72,0.375,0.00,0.35,22.50,1.56,39,4.38,1.32,912,20.75,2.4,0.00,0
3.928,-6.25,-10.16,14.01,-69.09,0.28,14.72,0.375,0.00,0.35,22.00,1.55,39,4.25,1.32,907,20.62,2.0,0.00,0
4.031,-6.25,-12.50,14.01,-69.36,0.28,14.72,0.375,0.00,0.35,17.00,1.53,39,4.22,1.40,895,20.82,5.5,1.96,0
4.137,-7.03,-11.72,14.13,-56.88,0.28,14.72,0.375,0.00,0.35,19.50,2.54,39,11.30,2.00,850,22.34,16.1,7.06,0
4.244,-9.38,-10.94,13.90,-16.06,0.46,7.33,0.375,0.00,0.35,25.50,4.23,39,18.10,2.02,944,12.07,16.9,7.06,0
4.343,-6.25,-9.38,14.47,-11.86,0.71,11.27,0.375,0.00,0.35,26.00,4.51,39,16.19,1.98,1174,-16.13,15.3,9.41,0
4.452,-1.56,-8.59,15.62,-32.13,0.74,14.14,0.375,0.00,0.35,29.50,4.25,39,10.49,1.58,1328,-18.89,2.7,0.00,0
4.558,0.00,-7.81,15.73,-54.54,0.57,21.16,0.375,0.00,0.35,24.50,3.03,39,5.03,1.32,1420,-10.34,1.6,0.00,0
4.655,-3.91,-8.59,14.81,-61.78,0.38,22.35,0.375,0.00,0.35,19.50,2.19,39,3.65,1.26,1281,1.93,2.0,0.00,0
4.765,-4.69,-8.59,14.24,-67.78,0.30,19.14,0.375,0.00,0.35,19.50,1.85,39,4.11,1.36,1086,14.82,3.1,0.00,0
4.862,-4.69,-8.59,14.36,-68.12,0.28,15.82,0.375,0.00,0.35,22.50,1.53,39,4.81,1.38,896,20.89,2.7,0.00,0
4.978,-4.69,-8.59,14.36,-66.67,0.29,13.43,0.375,0.00,0.35,22.50,1.52,39,4.90,1.38,790,20.48,2.7,0.00,0
5.074,-3.12,-9.38,14.59,-65.16,0.31,13.19,0.375,0.00,0.35,22.50,1.50,39,4.90,1.38,784,19.03,2.7,0.00,0
5.176,-2.34,-9.38,15.04,-63.64,0.32,14.73,0.375,0.00,0.35,21.50,1.57,39,4.84,1.38,818,16.41,2.7,0.00,0
5.280,-1.56,-9.38,15.27,-63.57,0.33,14.73,0.375,0.00,0.35,16.50,1.65,39,4.81,1.36,859,16.00,2.7,0.00,0
5.382,-1.56,-9.38,15.16,-64.12,0.32,14.73,0.375,0.00,0.35,16.50,1.72,39,4.72,1.36,897,15.65,2.4,0.00,0
5.493,-3.12,-9.38,14.70,-65.02,0.32,14.73,0.375,0.00,0.35,14.50,1.76,39,4.61,1.36,917,16.13,2.4,0.00,0
5.592,-3.12,-10.16,14.47,-65.91,0.31,14.73,0.375,0.00,0.35,14.50,1.78,39,4.55,1.36,925,17.31,2.4,0.00,0
5.696,-3.91,-10.16,14.47,-67.09,0.30,14.73,0.375,0.00,0.35,13.50,1.80,39,4.49,1.36,940,18.41,2.4,0.00,0
5.807,-3.91,-10.16,14.36,-67.84,0.29,14.73,0.375,0.00,0.35,15.00,1.77,39,4.55,1.34,924,18.89,2.4,0.00,0
5.904,-3.91,-10.16,14.24,-68.26,0.29,14.73,0.375,0.00,0.35,15.00,1.60,39,4.49,1.34,938,19.79,2.4,0.00,0
6.006,-4.69,-10.16,14.24,-68.60,0.29,14.73,0.375,0.00,0.35,14.50,1.59,39,4.44,1.34,932,20.48,2.4,0.00,0
6.118,-4.69,-12.50,14.24,-68.95,0.28,14.73,0.375,0.00,0.35,16.50,1.55,39,4.44,1.34,906,20.68,2.4,0.00,0
6.218,-5.47,-12.50,14.24,-69.02,0.28,14.73,0.375,0.00,0.35,17.00,1.52,39,4.47,1.50,894,20.62,7.5,2.75,0
6.328,-6.25,-11.72,14.24,-37.09,0.33,13.43,0.375,0.00,0.35,20.00,2.87,39,13.14,2.04,842,23.58,16.5,6.67,0
6.428,-10.16,-10.16,13.78,-13.72,0.60,7.55,0.375,0.00,0.35,23.50,4.37,39,17.85,2.02,931,6.69,16.9,7.06,0
6.532,-7.81,-9.38,14.13,-11.10,0.74,11.61,0.375,0.00,0.35,26.00,4.33,39,15.92,1.96,1194,-17.24,16.5,9.41,0
6.636,-1.56,-7.81,15.39,-28.41,0.74,14.15,0.375,0.00,0.35,30.50,4.50,39,10.25,1.62,1406,-18.68,3.1,5.88,0
6.740,0.00,-7.81,15.73,-53.16,0.55,20.55,0.375,0.00,0.35,25.50,2.90,39,5.15,1.36,1512,-13.51,1.6,0.00,0
6.848,-3.91,-7.81,14.70,-63.85,0.38,22.02,0.375,0.00,0.35,21.00,2.38,39,4.00,1.28,1394,13.31,1.6,0.00,0
6.951,-4.69,-8.59,14.36,-70.60,0.29,19.32,0.375,0.00,0.35,18.00,1.81,39,3.55,1.26,1214,16.55,2.0,0.00,0
7.059,-4.69,-8.59,14.36,-72.26,0.25,16.74,0.375,0.00,0.35,22.50,1.71,39,4.22,1.36,1004,23.03,2.7,0.00,0
7.158,-3.91,-8.59,14.59,-70.88,0.25,14.77,0.375,0.00,0.35,22.50,1.58,39,4.84,1.38,927,25.03,3.1,0.00,0
7.254,-3.12,-8.59,14.70,-69.15,0.27,13.28,0.375,0.00,0.35,22.50,1.72,39,4.99,1.40,894,23.37,3.1,0.00,0
7.363,-3.91,-9.38,14.70,-67.57,0.29,13.25,0.375,0.00,0.35,22.50,1.77,39,5.18,1.40,920,21.17,3.1,0.00,0
7.470,-3.12,-9.38,14.81,-66.67,0.30,14.74,0.375,0.00,0.35,20.00,1.83,39,4.81,1.36,952,20.13,2.0,0.00,0
7.566,-3.91,-9.38,14.70,-68.74,0.29,14.74,0.375,0.00,0.35,18.50,1.64,39,4.17,1.32,963,18.34,2.0,0.00,0
7.672,-4.69,-9.38,14.47,-70.19,0.28,14.74,0.375,0.00,0.35,18.00,1.66,39,4.03,1.30,970,20.55,2.0,0.00,0
7.782,-5.47,-9.38,14.24,-71.02,0.27,14.74,0.375,0.00,0.35,19.50,1.62,39,4.06,1.32,947,21.44,2.0,0.00,0
7.886,-6.25,-9.38,14.13,-71.36,0.26,14.75,0.375,0.00,0.35,21.00,1.58,39,4.11,1.32,926,22.48,2.0,0.00,0
7.983,-7.03,-10.16,13.90,-71.02,0.26,14.75,0.375,0.00,0.35,21.00,1.57,39,4.08,1.30,920,22.61,2.0,0.00,0
8.088,-7.03,-10.16,13.90,-70.95,0.26,14.74,0.375,0.00,0.35,22.00,1.54,39,4.08,1.30,901,22.27,2.0,0.00,0
8.198,-7.03,-10.16,13.90,-70.60,0.26,14.74,0.375,0.00,0.35,22.00,1.30,39,4.11,1.30,868,22.06,2.0,0.00,0
8.296,-7.81,-10.16,14.01,-70.12,0.27,14.74,0.375,0.00,0.35,22.00,1.24,39,4.11,1.30,828,21.86,2.0,0.00,0
8.404,-8.59,-10.16,13.90,-69.22,0.27,14.73,0.375,0.00,0.35,22.00,1.21,39,4.06,1.32,812,21.17,2.0,0.00,0
8.503,-8.59,-12.50,14.01,-68.95,0.28,14.73,0.375,0.00,0.35,22.00,1.17,39,4.08,1.32,780,20.48,2.0,0.00,0
8.608,-8.59,-12.50,14.24,-68.19,0.28,14.73,0.375,0.00,0.35,22.00,1.29,39,4.11,1.30,756,19.79,2.0,0.00,0
8.718,-8.59,-12.50,14.13,-67.09,0.29,14.72,0.375,0.00,0.35,22.00,1.24,39,4.08,1.32,728,19.17,2.4,0.00,0
8.822,-7.81,-12.50,14.47,-66.26,0.30,14.72,0.375,0.00,0.35,22.00,1.22,39,4.22,1.34,716,18.96,2.4,0.00,0
8.928,-7.81,-12.50,14.59,-64.67,0.31,13.37,0.375,0.00,0.35,22.00,1.32,39,4.49,1.36,687,18.06,2.4,0.00,0
9.024,-7.81,-12.50,14.59,-62.67,0.33,13.26,0.375,0.00,0.35,22.00,1.28,39,4.55,1.36,669,16.13,2.4,0.00,0
9.132,-6.25,-12.50,15.16,-61.36,0.34,13.23,0.375,0.00,0.35,22.00,1.31,39,4.58,1.36,682,14.62,2.4,0.00,0
9.232,-6.25,-12.50,15.16,-60.54,0.35,14.70,0.375,0.00,0.35,18.00,1.45,39,4.58,1.36,755,13.03,2.4,0.00,0
9.341,-4.69,-12.50,15.39,-60.88,0.35,14.70,0.375,0.00,0.35,15.50,1.52,39,4.55,1.36,790,12.69,2.4,0.00,0
9.448,-3.91,-12.50,15.62,-61.71,0.34,14.70,0.375,0.00,0.35,14.00,1.56,39,4.55,1.36,813,12.82,2.4,0.00,0
9.544,-4.69,-12.50,15.39,-62.47,0.34,14.70,0.375,0.00,0.35,14.50,1.57,39,4.55,1.34,818,13.86,2.4,0.00,0
9.648,-4.69,-12.50,15.27,-63.22,0.33,14.70,0.375,0.00,0.35,14.00,1.40,39,4.52,1.34,818,14.27,2.4,0.00,0
9.751,-3.12,-12.50,15.62,-64.05,0.33,14.70,0.375,0.00,0.35,14.00,1.58,39,4.55,1.34,822,15.03,2.4,0.00,0
9.855,-3.91,-12.50,15.62,-64.40,0.32,14.70,0.375,0.00,0.35,16.00,1.36,39,4.58,1.36,797,15.79,2.4,0.00,0
9.963,-2.34,-12.50,15.50,-64.05,0.32,14.70,0.375,0.00,0.35,14.50,1.40,39,4.55,1.36,820,16.20,2.4,0.00,0
10.066,-2.34,-12.50,15.50,-64.47,0.32,14.70,0.375,0.00,0.35,14.00,1.40,39,4.55,1.36,821,16.06,2.4,0.00,0
10.168,-1.56,-12.50,15.50,-64.81,0.32,14.70,0.375,0.00,0.35,13.50,1.41,39,4.55,1.36,825,16.41,2.4,0.00,0
10.278,-2.34,-12.50,15.16,-65.02,0.32,14.70,0.375,0.00,0.35,13.00,1.62,39,4.55,1.34,844,16.62,2.4,0.00,0
10.379,-2.34,-12.50,15.04,-65.57,0.32,14.70,0.375,0.00,0.35,14.50,1.42,39,4.38,1.32,829,16.75,2.0,0.00,0
10.489,-2.34,-12.50,15.04,-66.60,0.31,14.71,0.375,0.00,0.35,14.50,1.43,39,4.22,1.32,835,16.82,2.0,0.00,0
10.583,-1.56,-12.50,15.04,-67.09,0.30,14.71,0.375,0.00,0.35,16.50,1.37,39,4.17,1.32,804,17.86,2.0,0.00,0
10.691,-1.56,-12.50,14.93,-66.95,0.30,14.71,0.375,0.00,0.35,16.00,1.39,39,4.14,1.32,812,18.55,2.0,0.00,0
10.795,-1.56,-12.50,14.93,-67.02,0.30,14.71,0.375,0.00,0.35,16.50,1.38,39,4.17,1.32,807,18.34,2.0,0.00,0
10.899,-1.56,-12.50,14.93,-66.95,0.30,14.71,0.375,0.00,0.35,16.50,1.35,39,4.22,1.32,793,18.13,2.0,0.00,0
11.008,-2.34,-12.50,14.70,-66.47,0.30,14.71,0.375,0.00,0.35,17.00,1.34,39,4.22,1.32,788,18.27,2.0,0.00,0
11.103,-1.56,-12.50,14.70,-66.47,0.30,14.71,0.375,0.00,0.35,17.50,1.33,39,4.19,1.32,778,17.93,2.0,0.00,0
11.212,-2.34,-12.50,14.70,-66.26,0.30,14.71,0.375,0.00,0.35,17.00,1.32,39,4.22,1.32,773,17.72,2.0,0.00,0
11.310,-2.34,-12.50,14.59,-65.91,0.30,14.71,0.375,0.00,0.35,18.00,1.32,39,4.11,1.32,774,17.72,2.0,0.00,0
11.414,-2.34,-12.50,14.59,-65.98,0.30,14.70,0.375,0.00,0.35,18.50,1.30,39,4.11,1.32,762,17.17,2.0,0.00,0
11.522,-2.34,-12.50,14.81,-65.91,0.30,14.70,0.375,0.00,0.35,19.00,1.29,39,4.11,1.30,755,17.03,2.0,0.00,0
11.630,-2.34,-12.50,14.70,-65.78,0.30,14.70,0.375,0.00,0.35,18.00,1.31,39,4.06,1.30,766,17.17,2.0,0.00,0
11.729,-1.56,-12.50,14.81,-65.78,0.30,14.70,0.375,0.00,0.35,18.00,1.30,39,4.06,1.32,764,17.03,2.0,0.00,0
11.834,-1.56,-12.50,14.81,-65.78,0.30,14.70,0.375,0.00,0.35,17.50,1.31,39,4.03,1.30,766,16.75,2.0,0.00,0
11.934,-2.34,-12.50,14.70,-65.50,0.30,14.70,0.375,0.00,0.35,17.00,1.31,39,4.06,1.32,768,17.03,2.0,0.00,0
12.045,-2.34,-12.50,14.59,-65.57,0.30,14.70,0.375,0.00,0.35,16.50,1.32,39,4.06,1.32,775,16.96,2.4,0.00,0
12.146,-2.34,-12.50,14.70,-65.29,0.30,14.70,0.375,0.00,0.35,18.50,1.29,39,4.27,1.34,753,17.03,2.4,0.00,0
12.248,-3.12,-12.50,14.47,-64.33,0.31,14.70,0.375,0.00,0.35,18.00,1.29,39,4.47,1.36,753,17.17,2.4,0.00,0
12.351,-1.56,-12.50,14.81,-63.85,0.32,14.70,0.375,0.00,0.35,16.50,1.32,39,4.52,1.36,774,15.86,2.4,0.00,0
12.456,-1.56,-12.50,14.93,-63.50,0.32,14.70,0.375,0.00,0.35,16.50,1.47,39,4.55,1.34,766,15.65,2.4,0.00,0
12.563,-2.34,-12.50,14.70,-62.95,0.33,14.70,0.375,0.00,0.35,16.00,1.50,39,4.55,1.36,781,15.10,2.4,0.00,0
12.669,-0.78,-12.50,15.04,-62.88,0.33,14.70,0.375,0.00,0.35,15.50,1.52,39,4.55,1.36,793,14.89,2.4,0.00,0
12.769,0.00,-12.50,15.27,-63.29,0.33,14.70,0.375,0.00,0.35,13.50,1.54,39,4.55,1.36,802,14.55,2.4,0.00,0
12.870,-0.78,-12.50,15.04,-63.43,0.33,14.70,0.375,0.00,0.35,13.50,1.57,39,4.55,1.34,820,15.03,2.4,0.00,0
12.980,0.00,-12.50,15.04,-63.57,0.32,14.70,0.375,0.00,0.35,14.00,1.57,39,4.55,1.36,816,15.24,2.4,0.00,0
13.080,0.78,-12.50,15.39,-64.12,0.32,14.70,0.375,0.00,0.35,13.00,1.60,39,4.52,1.34,834,15.38,2.4,0.00,0
13.186,1.56,-12.50,15.39,-64.60,0.32,14.70,0.375,0.00,0.35,14.00,1.58,39,4.44,1.34,823,15.86,2.0,0.00,0
13.286,0.78,-12.50,15.16,-64.81,0.31,14.70,0.375,0.00,0.35,14.00,1.41,39,4.25,1.32,827,16.00,2.0,0.00,0
13.394,1.56,-12.50,15.27,-65.50,0.31,14.70,0.375,0.00,0.35,14.50,1.41,39,4.17,1.32,825,16.55,2.0,0.00,0
13.498,1.56,-12.50,15.16,-65.98,0.30,14.70,0.375,0.00,0.35,13.50,1.42,39,4.17,1.32,831,17.10,2.0,0.00,0
13.603,0.78,-12.50,15.04,-66.05,0.30,14.71,0.375,0.00,0.35,15.00,1.40,39,4.17,1.32,823,17.44,2.0,0.00,0
13.702,0.78,-12.50,14.93,-66.26,0.30,14.71,0.375,0.00,0.35,15.50,1.39,39,4.17,1.32,815,17.86,2.0,0.00,0
13.806,0.78,-12.50,14.81,-66.74,0.29,14.71,0.375,0.00,0.35,15.50,1.39,39,4.22,1.32,813,17.72,2.0,0.00,0
13.913,0.78,-12.50,14.81,-66.81,0.30,14.70,0.375,0.00,0.35,16.00,1.38,39,4.22,1.32,808,18.20,2.0,0.00,0
14.014,0.78,-12.50,14.59,-66.60,0.30,14.70,0.375,0.00,0.35,16.00,1.39,39,4.22,1.34,814,18.20,2.4,0.00,0
14.121,0.78,-12.50,14.70,-66.47,0.30,14.70,0.375,0.00,0.35,16.50,1.37,39,4.41,1.36,802,18.06,2.4,0.00,0
14.226,0.78,-12.50,14.70,-65.50,0.30,14.70,0.375,0.00,0.35,16.50,1.36,39,4.61,1.36,794,18.00,2.4,0.00,0
14.333,0.00,-12.50,14.47,-64.60,0.31,14.70,0.375,0.00,0.35,16.50,1.36,39,4.66,1.36,796,17.24,2.4,0.00,0
14.431,0.78,-12.50,14.59,-64.33,0.32,14.70,0.375,0.00,0.35,16.50,1.55,39,4.66,1.36,805,16.55,2.4,0.00,0
14.538,0.78,-12.50,14.81,-64.33,0.32,14.70,0.375,0.00,0.35,15.00,1.55,39,4.55,1.34,809,15.79,2.4,0.00,0
14.647,0.78,-12.50,14.70,-64.74,0.32,14.70,0.375,0.00,0.35,15.00,1.60,39,4.44,1.34,833,15.93,2.4,0.00,0
14.748,0.78,-12.50,14.70,-65.09,0.32,14.70,0.375,0.00,0.35,15.00,1.59,39,4.41,1.34,826,16.69,2.4,0.00,0
14.853,1.56,-12.50,14.81,-65.64,0.31,14.70,0.375,0.00,0.35,14.00,1.62,39,4.44,1.34,842,16.96,2.4,0.00,0
14.958,1.56,-12.50,14.81,-66.05,0.31,14.70,0.375,0.00,0.35,14.00,1.44,39,4.44,1.34,845,17.44,2.4,0.00,0
15.061,0.78,-12.50,14.70,-66.05,0.31,14.70,0.375,0.00,0.35,14.00,1.45,39,4.44,1.34,852,17.93,2.4,0.00,0
15.160,0.78,-12.50,14.59,-66.26,0.30,14.70,0.375,0.00,0.35,15.00,1.44,39,4.44,1.34,842,18.20,2.4,0.00,0
15.266,0.78,-12.50,14.59,-66.60,0.30,14.70,0.375,0.00,0.35,14.00,1.64,39,4.44,1.34,857,17.86,2.4,0.00,0
15.369,0.78,-12.50,14.59,-66.74,0.30,14.70,0.375,0.00,0.35,15.00,1.45,39,4.44,1.34,848,18.13,2.4,0.00,0
15.478,0.00,-12.50,14.36,-66.74,0.30,14.70,0.375,0.00,0.35,15.00,1.45,39,4.44,1.34,848,18.34,2.4,0.00,0
15.578,0.00,-12.50,14.36,-66.81,0.30,14.70,0.375,0.00,0.35,15.50,1.44,39,4.44,1.34,842,18.41,2.4,0.00,0
15.687,0.00,-12.50,14.47,-66.81,0.30,14.70,0.375,0.00,0.35,15.50,1.44,39,4.33,1.34,845,18.27,2.0,0.00,0
15.785,-0.78,-12.50,14.36,-66.81,0.30,14.70,0.375,0.00,0.35,16.50,1.43,39,4.33,1.34,841,18.27,2.0,0.00,0
15.890,-1.56,-12.50,14.24,-66.74,0.30,14.70,0.375,0.00,0.35,16.50,1.40,39,4.33,1.32,822,18.48,2.4,0.00,0
15.990,-0.78,-12.50,14.36,-66.95,0.30,14.70,0.375,0.00,0.35,16.50,1.39,39,4.27,1.32,815,18.27,2.0,0.00,0
16.101,-0.78,-12.50,14.47,-66.95,0.30,14.70,0.375,0.00,0.35,16.50,1.39,39,4.27,1.32,814,18.34,2.0,0.00,0
16.208,-1.56,-12.50,14.24,-66.74,0.30,14.70,0.375,0.00,0.35,18.00,1.37,39,4.25,1.32,802,18.27,2.0,0.00,0
16.308,-1.56,-12.50,14.47,-66.81,0.30,14.70,0.375,0.00,0.35,18.50,1.36,39,4.22,1.32,795,18.13,2.0,0.00,0
16.413,-1.56,-12.50,14.47,-66.74,0.30,14.70,0.375,0.00,0.35,16.50,1.36,39,4.22,1.32,796,18.06,2.0,0.00,0
16.518,-2.34,-12.50,14.36,-66.47,0.30,14.70,0.375,0.00,0.35,16.50,1.38,39,4.22,1.32,808,18.20,2.0,0.00,0
16.616,-2.34,-12.50,14.47,-66.47,0.30,14.70,0.375,0.00,0.35,17.50,1.36,39,4.22,1.32,797,17.93,2.0,0.00,0
16.722,-1.56,-12.50,14.59,-66.74,0.30,14.70,0.375,0.00,0.35,17.50,1.36,39,4.22,1.32,796,17.93,2.0,0.00,0
16.822,-2.34,-12.50,14.59,-66.40,0.30,14.70,0.375,0.00,0.35,18.50,1.35,39,4.17,1.32,789,17.58,2.0,0.00,0
16.926,-2.34,-12.50,14.47,-66.33,0.30,14.70,0.375,0.00,0.35,19.00,1.32,39,4.11,1.30,776,17.65,2.0,0.00,0
17.039,-1.56,-12.50,14.70,-66.47,0.30,14.70,0.375,0.00,0.35,17.00,1.35,39,4.11,1.32,792,17.65,2.0,0.00,0
17.139,-2.34,-12.50,14.59,-66.26,0.30,14.70,0.375,0.00,0.35,19.50,1.32,39,4.11,1.32,772,17.86,2.0,0.00,0
17.248,-2.34,-12.50,14.59,-65.98,0.30,14.70,0.375,0.00,0.35,18.50,1.32,39,4.11,1.30,772,17.65,2.0,0.00,0
17.341,-1.56,-12.50,14.81,-66.19,0.30,14.70,0.375,0.00,0.35,17.50,1.33,39,4.06,1.32,779,17.37,2.0,0.00,0
17.451,-2.34,-12.50,14.59,-65.98,0.30,14.70,0.375,0.00,0.35,19.00,1.30,39,4.11,1.32,763,17.44,2.0,0.00,0
17.558,-2.34,-12.50,14.47,-65.98,0.30,14.70,0.375,0.00,0.35,18.00,1.32,39,4.06,1.30,773,17.44,2.0,0.00,0
17.655,-2.34,-12.50,14.59,-66.19,0.30,14.70,0.375,0.00,0.35,17.50,1.32,39,4.06,1.30,775,17.24,1.6,0.00,0
17.759,-2.34,-12.50,14.59,-66.05,0.30,14.70,0.375,0.00,0.35,17.50,1.32,39,4.06,1.30,772,17.44,2.0,0.00,0
17.868,-2.34,-12.50,14.59,-66.05,0.30,14.70,0.375,0.00,0.35,17.00,1.32,39,4.00,1.30,774,17.65,1.6,0.00,0
17.965,-2.34,-12.50,14.70,-66.47,0.30,14.70,0.375,0.00,0.35,17.50,1.31,39,4.00,1.30,767,17.37,2.0,0.00,0
18.078,-2.34,-12.50,14.70,-66.26,0.30,14.70,0.375,0.00,0.35,17.50,1.31,39,4.00,1.30,768,17.79,2.0,0.00,0
18.178,-2.34,-12.50,14.59,-66.19,0.30,14.70,0.375,0.00,0.35,17.50,1.30,39,4.00,1.30,764,17.79,2.0,0.00,0
18.299,-2.34,-12.50,14.81,-66.33,0.30,14.70,0.375,0.00,0.35,17.50,1.30,39,4.00,1.30,764,17.44,1.6,0.00,0
18.383,-2.34,-12.50,14.70,-66.05,0.30,14.70,0.375,0.00,0.35,18.50,1.30,39,4.00,1.30,764,17.58,2.0,0.00,0
